,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS,과정
6646,미용사(피부) 자격증 취득과정,피디에이홍명뷰티아카데미학원,27,1215980,10,47.9,29.0,대전,중구,12_미용숙박여행오락스포츠,피부관리사
6647,"피부미용실무(아로마테라피,왁싱,한국형특수관리)",대전미용직업전문학교,30,776160,14,37.2,31.0,대전,중구,12_미용숙박여행오락스포츠,피부관리사
6648,헤어미용 입문과정,미래미용학원,80,2069760,13,26.6,37.0,광주,광산구,12_미용숙박여행오락스포츠,헤어디자이너
6649,네일아트 실무 및 드릴,(주)나레스트 청량리 미용학원,35,992580,18,62.5,31.0,서울,동대문구,12_미용숙박여행오락스포츠,네일아트
6650,미용사(헤어) 국가자격증 취득과정,나레스트뷰티아카데미미용학원 연산점,75,1940400,15,61.5,33.0,부산,연제구,12_미용숙박여행오락스포츠,헤어디자이너
6651,미용사(메이크업)자격증 취득과정,(주)에르모소뷰티직업전문학교김포점,65,1681680,10,66.0,35.0,경기,김포시,12_미용숙박여행오락스포츠,헤어디자이너
6652,미용사(일반)기능사취득과정,문스코직업전문학교,47,2069760,20,63.8,35.0,경북,경산시,12_미용숙박여행오락스포츠,헤어디자이너
6653,미용사(피부)자격증취득과정,김정기미용직업전문학교,65,1681680,14,46.3,36.0,제주,제주시,12_미용숙박여행오락스포츠,피부관리사
6654,미용사(네일)자격증취득과정,김정기미용직업전문학교,70,1811040,8,46.3,31.0,제주,제주시,12_미용숙박여행오락스포츠,네일아트
6655,미용사(피부)자격증 취득과정,에르모소뷰티직업전문학교 안양점,70,1811040,20,70.1,33.0,경기,안양시,12_미용숙박여행오락스포츠,피부관리사
6656,헤어자격증 실기,무궁화뷰티직업전문학교,75,1940400,16,50.6,38.0,대구,남구,12_미용숙박여행오락스포츠,헤어디자이너
6657,속눈썹미용실무과정,(주)에르모소뷰티직업전문학교김포점,16,413950,10,66.0,37.0,경기,김포시,12_미용숙박여행오락스포츠,헤어디자이너
6658,미용사(네일) 자격증 취득반,성심미용예술직업전문학교,60,1552320,18,58.1,29.0,부산,부산진구,12_미용숙박여행오락스포츠,네일아트
6659,네일실무과정,YMCA가넷뷰티아카데미,64,1228920,12,44.5,30.0,전북,익산시,12_미용숙박여행오락스포츠,네일아트
6660,메이크업미용사자격증취득과정,주식회사에르모소뷰티직업전문학교,62,1604060,10,57.8,29.0,서울,마포구,12_미용숙박여행오락스포츠,헤어디자이너
6661,헤어미용커트실무향상과정,일산비비에스미용학원,40,1000000,10,68.3,39.0,경기,고양시,12_미용숙박여행오락스포츠,헤어디자이너
6662,헤어 커트&펌,경기미용직업전문학교,40,1034880,10,58.7,39.0,경기,수원시,12_미용숙박여행오락스포츠,헤어디자이너
6663,미용사(일반)기능사자격취득A,씨씨씨(ccc)미용학원,50,1940400,20,80.9,30.0,충북,청주시,12_미용숙박여행오락스포츠,헤어디자이너
