,과정명,학원명,기간,훈련비,정원,취업률,연령대,NCS,과정,지역1,지역2
2784,간호조무사 취득과정,스타메디간호학원,202,3344000,36,73.7,34.0,06_보건의료,간호조무사,,
2785,병원코디네이터 및 상담실장양성과정,아바평생교육원,22,609730,11,56.4,,06_보건의료,병원코디네이터,,
2786,요양보호사 자격취득 교육과정(NCS),더큰요양보호사교육원,30,641520,38,53.3,53.0,06_보건의료,요양보호사,,
2787,병원코디네이터 및 상담실장 양성과정(NCS기반),종로아바CS평생교육원,20,554300,16,36.8,,06_보건의료,병원코디네이터,,
2788,간호조무사자격취득과정,동서울본간호학원,217,2964000,50,76.5,35.0,06_보건의료,간호조무사,,
2789,간호조무사 자격 취득과정,남구간호학원,207,3275600,40,62.5,34.0,06_보건의료,간호조무사,,
2790,요양보호사 자격 취득과정,참좋은요양보호사교육원,30,600000,40,45.7,57.0,06_보건의료,요양보호사,,
2791,간호조무사 자격증 취득과정,사창미즈간호학원,191,2964000,31,73.6,34.0,06_보건의료,간호조무사,,
2792,간호조무사 자격증 취득과정(취업실무),탑간호학원,230,2898640,33,76.9,,06_보건의료,간호조무사,,
2793,간호조무사 자격증 취득과정,인제간호학원,207,2903200,34,72.4,,06_보건의료,간호조무사,,
2794,요양보호사 자격 취득과정,미소로섬김 요양보호사교육원,30,600000,37,50.0,56.0,06_보건의료,요양보호사,,
2795,요양보호사 자격취득과정,논산여성인력개발센터,52,650000,30,65.9,55.0,06_보건의료,요양보호사,,
2796,병원코디네이터 및 상담실장양성과정,아바평생교육원,22,609730,11,56.4,,06_보건의료,병원코디네이터,,
2797,요양보호사 자격취득과정,전국고용요양보호사교육원,30,540000,40,54.9,55.0,06_보건의료,요양보호사,,
2798,간호조무사 자격증 취득과정(취업실무),탑간호학원,217,2898640,33,76.9,31.0,06_보건의료,간호조무사,,
2799,요양보호사 자격취득과정,논산여성인력개발센터,52,650000,30,65.9,52.0,06_보건의료,요양보호사,,
2800,요양보호사자격취득과정,아름다운요양보호사교육원,34,499200,35,58.2,57.0,06_보건의료,요양보호사,,
2801,요양보호사 자격취득과정,전국고용요양보호사교육원,40,540000,40,54.9,56.0,06_보건의료,요양보호사,,
2802,요양보호사 자격 취득과정,성모요양보호사교육원,30,580000,33,46.6,,06_보건의료,요양보호사,,
2803,요양보호사 자격증 취득과정 (주간),강릉직업전문학교부설 요양보호사교육원,33,549840,30,56.9,47.0,06_보건의료,요양보호사,,
